,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Electric,Y_Very_Low_E,Y_Low_E,Y_Medium_E,Y_High_E,Y_Very_High_E
0,26.2,4.5568485803013585,0.7650329209294782,2002.0,0,0,0,0,0,1,0,0,0,0,8.410502759277298,0,1,0,0,0
1,19.1,4.749315344055921,0.7656067243103443,2002.0,0,0,0,0,0,1,0,0,0,0,4.695655716374387,1,0,0,0,0
2,33.3,4.843112437784409,0.7680166985099822,2002.0,0,0,0,0,0,1,0,0,0,0,4.031087572793241,1,0,0,0,0
3,48.05,5.014337814241692,0.7713447581190058,2002.0,0,0,0,0,0,1,0,0,0,0,4.025989476701391,1,0,0,0,0
4,62.3,5.080878934305573,0.7726453791156358,2002.0,0,0,0,0,0,1,0,0,0,0,4.757123585168694,1,0,0,0,0
5,64.65,4.877829543904695,0.7704266727096201,2002.0,0,0,0,0,0,1,0,0,0,0,4.923872820430026,1,0,0,0,0
6,73.85,5.401936031913559,0.7675767825846516,2002.0,0,0,0,0,0,1,0,0,0,0,5.054688274710113,0,1,0,0,0
7,74.65,5.379704902555832,0.7630246090964466,2002.0,0,0,0,0,0,1,0,0,0,0,5.185774623157859,0,1,0,0,0
8,69.2,5.393180621378837,0.76053812777936,2002.0,0,0,0,0,0,1,0,0,0,0,4.574213200295306,1,0,0,0,0
9,54.0,4.91239438201568,0.7618004952172657,2002.0,0,0,0,0,0,1,0,0,0,0,4.258012313453902,1,0,0,0,0
10,48.55,4.673105205401523,0.7653772029579979,2002.0,0,0,0,0,0,1,0,0,0,0,4.228743850432036,1,0,0,0,0
11,45.25,4.457341436224137,0.7686096286702107,2002.0,0,0,0,0,0,1,0,0,0,0,3.998335807205767,1,0,0,0,0
0,26.2,3.3911409915274002,0.8980821245693876,1972.0,0,1,0,0,0,0,0,0,0,0,7.45234421708115,0,1,0,0,0
1,19.1,3.534371981228522,0.8987557198425783,1972.0,0,1,0,0,0,0,0,0,0,0,4.1607075967874305,1,0,0,0,0
2,33.3,3.604174425576537,0.9015848199899793,1972.0,0,1,0,0,0,0,0,0,0,0,3.571849748044643,1,0,0,0,0
3,48.05,3.7315978812085873,0.9054916725744853,1972.0,0,1,0,0,0,0,0,0,0,0,3.567332447710094,1,0,0,0,0
4,62.3,3.7811168230593717,0.9070184885270509,1972.0,0,1,0,0,0,0,0,0,0,0,4.215172796984919,1,0,0,0,0
5,64.65,3.6300103952378158,0.9044139201373802,1972.0,0,1,0,0,0,0,0,0,0,0,4.36292528392534,1,0,0,0,0
6,73.85,4.020042884597992,0.9010683969471998,1972.0,0,1,0,0,0,0,0,0,0,0,4.478837711768454,1,0,0,0,0
7,74.65,4.00349879876226,0.8957245411132202,1972.0,0,1,0,0,0,0,0,0,0,0,4.594990172418355,1,0,0,0,0
8,69.2,4.013527234354467,0.8928056282627271,1972.0,0,1,0,0,0,0,0,0,0,0,4.053100304059131,1,0,0,0,0
9,54.0,3.6557330492426847,0.8942875378637467,1972.0,0,1,0,0,0,0,0,0,0,0,3.7729223030604193,1,0,0,0,0
10,48.55,3.4776574951957597,0.898486281733302,1972.0,0,1,0,0,0,0,0,0,0,0,3.746988221901804,1,0,0,0,0
11,45.25,3.317089210064043,0.9022808684389431,1972.0,0,1,0,0,0,0,0,0,0,0,3.5428291962582743,1,0,0,0,0
0,26.2,1.914481677518803,0.9562911511618478,2004.0,0,1,0,0,0,0,0,0,0,0,11.159711885632973,0,0,1,0,0
1,19.1,1.9953432831320141,0.9570084053879304,2004.0,0,1,0,0,0,0,0,0,0,0,6.230562715297949,0,1,0,0,0
2,33.3,2.0347505213106043,0.9600208731374779,2004.0,0,1,0,0,0,0,0,0,0,0,5.348761802438746,0,1,0,0,0
3,48.05,2.1066879228233066,0.9641809476487574,2004.0,0,1,0,0,0,0,0,0,0,0,5.341997250404382,0,1,0,0,0
